 ID,PARAM,dateTime,Beauharnois,SYM
02MC010,1,2025/01/01,5520,
02MC010,1,2025/01/02,5470,
02MC010,1,2025/01/03,6460,
02MC010,1,2025/01/04,6440,
02MC010,1,2025/01/05,6100,
02MC010,1,2025/01/06,6170,
02MC010,1,2025/01/07,5970,
02MC010,1,2025/01/08,5470,
02MC010,1,2025/01/09,5820,
02MC010,1,2025/01/10,6060,
02MC010,1,2025/01/11,5850,
02MC010,1,2025/01/12,5590,
02MC010,1,2025/01/13,5720,
02MC010,1,2025/01/14,6250,
02MC010,1,2025/01/15,6050,
02MC010,1,2025/01/16,5930,
02MC010,1,2025/01/17,6280,
02MC010,1,2025/01/18,6620,
02MC010,1,2025/01/19,6260,
02MC010,1,2025/01/20,6120,
02MC010,1,2025/01/21,6270,
02MC010,1,2025/01/22,6490,
02MC010,1,2025/01/23,6580,
02MC010,1,2025/01/24,6640,
02MC010,1,2025/01/25,6540,
02MC010,1,2025/01/26,6450,
02MC010,1,2025/01/27,5880,
02MC010,1,2025/01/28,6020,
02MC010,1,2025/01/29,6180,
02MC010,1,2025/01/30,6720,
02MC010,1,2025/01/31,6500,
02MC010,1,2025/02/01,6540,
02MC010,1,2025/02/02,6620,
02MC010,1,2025/02/03,6800,
02MC010,1,2025/02/04,6850,
02MC010,1,2025/02/05,6840,
02MC010,1,2025/02/06,6840,
02MC010,1,2025/02/07,6840,
02MC010,1,2025/02/08,6840,
02MC010,1,2025/02/09,6890,
02MC010,1,2025/02/10,6880,
02MC010,1,2025/02/11,7040,
02MC010,1,2025/02/12,6930,
02MC010,1,2025/02/13,6950,
02MC010,1,2025/02/14,7120,
02MC010,1,2025/02/15,7200,
02MC010,1,2025/02/16,7090,
02MC010,1,2025/02/17,7000,
02MC010,1,2025/02/18,6970,
02MC010,1,2025/02/19,7110,
02MC010,1,2025/02/20,7160,
02MC010,1,2025/02/21,7200,
02MC010,1,2025/02/22,7160,
02MC010,1,2025/02/23,7190,
02MC010,1,2025/02/24,7300,
02MC010,1,2025/02/25,6920,
02MC010,1,2025/02/26,7120,
02MC010,1,2025/02/27,6950,
02MC010,1,2025/02/28,7190,
02MC010,1,2025/03/01,7250,
02MC010,1,2025/03/02,7190,
02MC010,1,2025/03/03,7200,
02MC010,1,2025/03/04,7000,
02MC010,1,2025/03/05,6870,
02MC010,1,2025/03/06,6960,
02MC010,1,2025/03/07,7080,
02MC010,1,2025/03/08,7160,
02MC010,1,2025/03/09,7040,
02MC010,1,2025/03/10,7020,
02MC010,1,2025/03/11,7190,
02MC010,1,2025/03/12,7040,
02MC010,1,2025/03/13,7080,
02MC010,1,2025/03/14,7010,
02MC010,1,2025/03/15,6930,
02MC010,1,2025/03/16,6940,
02MC010,1,2025/03/17,6960,
02MC010,1,2025/03/18,6850,
02MC010,1,2025/03/19,7080,
02MC010,1,2025/03/20,6690,
02MC010,1,2025/03/21,6690,
02MC010,1,2025/03/22,6970,
02MC010,1,2025/03/23,6880,
02MC010,1,2025/03/24,6880,
02MC010,1,2025/03/25,6980,
02MC010,1,2025/03/26,6910,
02MC010,1,2025/03/27,6900,
02MC010,1,2025/03/28,6820,
02MC010,1,2025/03/29,6940,
02MC010,1,2025/03/30,7100,
02MC010,1,2025/03/31,7060,
02MC010,1,2025/04/01,6940,
02MC010,1,2025/04/02,6770,
02MC010,1,2025/04/03,6920,
02MC010,1,2025/04/04,7220,
02MC010,1,2025/04/05,7450,
02MC010,1,2025/04/06,7400,
02MC010,1,2025/04/07,7120,
02MC010,1,2025/04/08,7280,
02MC010,1,2025/04/09,7340,
02MC010,1,2025/04/10,7350,
02MC010,1,2025/04/11,7370,
02MC010,1,2025/04/12,7360,
02MC010,1,2025/04/13,7690,
02MC010,1,2025/04/14,7550,
02MC010,1,2025/04/15,7390,
02MC010,1,2025/04/16,7590,
02MC010,1,2025/04/17,7510,
02MC010,1,2025/04/18,7590,
02MC010,1,2025/04/19,7210,
02MC010,1,2025/04/20,7340,
02MC010,1,2025/04/21,6990,
02MC010,1,2025/04/22,7170,
02MC010,1,2025/04/23,7080,
02MC010,1,2025/04/24,6920,
02MC010,1,2025/04/25,7130,
02MC010,1,2025/04/26,7070,
02MC010,1,2025/04/27,6910,
02MC010,1,2025/04/28,6960,
02MC010,1,2025/04/29,7230,
02MC010,1,2025/04/30,7030,
02MC010,1,2025/05/01,7170,
02MC010,1,2025/05/02,7500,
02MC010,1,2025/05/03,7490,
02MC010,1,2025/05/04,7480,
02MC010,1,2025/05/05,7550,
02MC010,1,2025/05/06,7530,
02MC010,1,2025/05/07,7510,
02MC010,1,2025/05/08,7360,
02MC010,1,2025/05/09,7890,
02MC010,1,2025/05/10,7730,
02MC010,1,2025/05/11,7730,
02MC010,1,2025/05/12,7670,
02MC010,1,2025/05/13,7610,
02MC010,1,2025/05/14,7810,
02MC010,1,2025/05/15,7640,
02MC010,1,2025/05/16,7580,
02MC010,1,2025/05/17,7800,
02MC010,1,2025/05/18,7850,
02MC010,1,2025/05/19,7790,
02MC010,1,2025/05/20,7960,
02MC010,1,2025/05/21,7950,
02MC010,1,2025/05/22,7800,
02MC010,1,2025/05/23,7870,
02MC010,1,2025/05/24,8060,
02MC010,1,2025/05/25,8110,
02MC010,1,2025/05/26,7510,
02MC010,1,2025/05/27,7760,
02MC010,1,2025/05/28,7770,
02MC010,1,2025/05/29,7530,
02MC010,1,2025/05/30,7820,
02MC010,1,2025/05/31,7860,
02MC010,1,2025/06/01,7740,
02MC010,1,2025/06/02,7680,
02MC010,1,2025/06/03,7890,
02MC010,1,2025/06/04,7570,
02MC010,1,2025/06/05,7930,
02MC010,1,2025/06/06,7920,
02MC010,1,2025/06/07,8050,
02MC010,1,2025/06/08,8030,
02MC010,1,2025/06/09,8010,
02MC010,1,2025/06/10,7910,
02MC010,1,2025/06/11,7450,
02MC010,1,2025/06/12,7760,
02MC010,1,2025/06/13,7800,
02MC010,1,2025/06/14,7880,
02MC010,1,2025/06/15,7760,
02MC010,1,2025/06/16,7880,
02MC010,1,2025/06/17,7720,
02MC010,1,2025/06/18,7500,
02MC010,1,2025/06/19,7590,
02MC010,1,2025/06/20,7430,
02MC010,1,2025/06/21,7780,
02MC010,1,2025/06/22,7620,
02MC010,1,2025/06/23,7480,
02MC010,1,2025/06/24,7450,
02MC010,1,2025/06/25,7380,
02MC010,1,2025/06/26,7500,
02MC010,1,2025/06/27,7250,
02MC010,1,2025/06/28,7590,
02MC010,1,2025/06/29,7250,
02MC010,1,2025/06/30,7910,
02MC010,1,2025/07/01,7620,
02MC010,1,2025/07/02,7400,
02MC010,1,2025/07/03,7400,
02MC010,1,2025/07/04,7460,
02MC010,1,2025/07/05,7580,
02MC010,1,2025/07/06,7400,
02MC010,1,2025/07/07,7400,
02MC010,1,2025/07/08,7270,
02MC010,1,2025/07/09,7450,
02MC010,1,2025/07/10,7440,
02MC010,1,2025/07/11,7290,
02MC010,1,2025/07/12,7410,
02MC010,1,2025/07/13,7350,
02MC010,1,2025/07/14,7500,
02MC010,1,2025/07/15,7420,
02MC010,1,2025/07/16,7400,
02MC010,1,2025/07/17,7410,
02MC010,1,2025/07/18,7500,
02MC010,1,2025/07/19,7600,
02MC010,1,2025/07/20,7460,
02MC010,1,2025/07/21,7480,
02MC010,1,2025/07/22,7470,
02MC010,1,2025/07/23,7320,
02MC010,1,2025/07/24,7320,
02MC010,1,2025/07/25,7390,
02MC010,1,2025/07/26,7350,
02MC010,1,2025/07/27,7190,
02MC010,1,2025/07/28,7320,
02MC010,1,2025/07/29,7360,
02MC010,1,2025/07/30,7320,
02MC010,1,2025/07/31,7490,
02MC010,1,2025/08/01,6940,
02MC010,1,2025/08/02,6810,
02MC010,1,2025/08/03,6830,
02MC010,1,2025/08/04,6710,
02MC010,1,2025/08/05,6830,
02MC010,1,2025/08/06,7210,
02MC010,1,2025/08/07,7180,
02MC010,1,2025/08/08,7070,
02MC010,1,2025/08/09,7130,
02MC010,1,2025/08/10,7080,
02MC010,1,2025/08/11,7220,
02MC010,1,2025/08/12,7190,
02MC010,1,2025/08/13,7220,
02MC010,1,2025/08/14,7200,
02MC010,1,2025/08/15,6840,
02MC010,1,2025/08/16,6810,
02MC010,1,2025/08/17,6860,
02MC010,1,2025/08/18,6890,
02MC010,1,2025/08/19,7150,
02MC010,1,2025/08/20,6980,
02MC010,1,2025/08/21,7160,
02MC010,1,2025/08/22,7110,
02MC010,1,2025/08/23,6900,
02MC010,1,2025/08/24,6940,
02MC010,1,2025/08/25,6900,
02MC010,1,2025/08/26,6900,
02MC010,1,2025/08/27,7090,
02MC010,1,2025/08/28,7120,
02MC010,1,2025/08/29,6990,
02MC010,1,2025/08/30,6730,
02MC010,1,2025/08/31,6930,
02MC010,1,2025/09/01,6800,
02MC010,1,2025/09/02,7000,
02MC010,1,2025/09/03,7200,
02MC010,1,2025/09/04,7050,
02MC010,1,2025/09/05,7040,
02MC010,1,2025/09/06,6600,
02MC010,1,2025/09/07,6630,
02MC010,1,2025/09/08,6790,
02MC010,1,2025/09/09,7160,
02MC010,1,2025/09/10,7240,
02MC010,1,2025/09/11,7190,
02MC010,1,2025/09/12,7140,
02MC010,1,2025/09/13,6950,
02MC010,1,2025/09/14,6950,
02MC010,1,2025/09/15,7080,
02MC010,1,2025/09/16,6800,
02MC010,1,2025/09/17,6870,
02MC010,1,2025/09/18,7080,
02MC010,1,2025/09/19,6970,
02MC010,1,2025/09/20,6830,
02MC010,1,2025/09/21,6820,
02MC010,1,2025/09/22,6900,
02MC010,1,2025/09/23,7210,
02MC010,1,2025/09/24,6420,
02MC010,1,2025/09/25,6210,
02MC010,1,2025/09/26,6700,
02MC010,1,2025/09/27,7040,
02MC010,1,2025/09/28,6850,
02MC010,1,2025/09/29,7120,
02MC010,1,2025/09/30,7220,
02MC010,1,2025/10/01,7240,
02MC010,1,2025/10/02,7380,
02MC010,1,2025/10/03,7350,
02MC010,1,2025/10/04,7090,
02MC010,1,2025/10/05,7020,
02MC010,1,2025/10/06,6860,
02MC010,1,2025/10/07,6940,
02MC010,1,2025/10/08,6940,
02MC010,1,2025/10/09,6970,
02MC010,1,2025/10/10,6790,
02MC010,1,2025/10/11,6900,
02MC010,1,2025/10/12,7010,
02MC010,1,2025/10/13,6950,
02MC010,1,2025/10/14,6880,
02MC010,1,2025/10/15,7020,
02MC010,1,2025/10/16,6990,
02MC010,1,2025/10/17,6960,
02MC010,1,2025/10/18,6800,
02MC010,1,2025/10/19,6720,
02MC010,1,2025/10/20,6890,
02MC010,1,2025/10/21,6810,
02MC010,1,2025/10/22,6830,
02MC010,1,2025/10/23,6890,
02MC010,1,2025/10/24,6320,
02MC010,1,2025/10/25,6540,
02MC010,1,2025/10/26,5930,
02MC010,1,2025/10/27,6270,
02MC010,1,2025/10/28,6300,
02MC010,1,2025/10/29,6190,
02MC010,1,2025/10/30,6630,
02MC010,1,2025/10/31,6500,
02MC010,1,2025/11/01,6800,
02MC010,1,2025/11/02,6930,
02MC010,1,2025/11/03,6720,
02MC010,1,2025/11/04,6880,
02MC010,1,2025/11/05,6790,
02MC010,1,2025/11/06,6640,
02MC010,1,2025/11/07,6340,
02MC010,1,2025/11/08,6040,
02MC010,1,2025/11/09,6140,
02MC010,1,2025/11/10,6180,
02MC010,1,2025/11/11,6200,
02MC010,1,2025/11/12,6320,
02MC010,1,2025/11/13,6810,
02MC010,1,2025/11/14,6780,
02MC010,1,2025/11/15,6600,
02MC010,1,2025/11/16,6370,
02MC010,1,2025/11/17,6510,
02MC010,1,2025/11/18,6680,
02MC010,1,2025/11/19,6850,
02MC010,1,2025/11/20,6560,
02MC010,1,2025/11/21,6470,
02MC010,1,2025/11/22,6440,
02MC010,1,2025/11/23,6170,
02MC010,1,2025/11/24,6220,
02MC010,1,2025/11/25,6380,
02MC010,1,2025/11/26,6720,
02MC010,1,2025/11/27,6490,
02MC010,1,2025/11/28,6360,
02MC010,1,2025/11/29,6340,
02MC010,1,2025/11/30,6390,
02MC010,1,2025/12/01,6630,
02MC010,1,2025/12/02,6610,
02MC010,1,2025/12/03,6660,
02MC010,1,2025/12/04,6780,
02MC010,1,2025/12/05,6550,
02MC010,1,2025/12/06,6890,
02MC010,1,2025/12/07,6800,
02MC010,1,2025/12/08,6940,
02MC010,1,2025/12/09,6710,
02MC010,1,2025/12/10,6910,
02MC010,1,2025/12/11,6760,
02MC010,1,2025/12/12,6770,
02MC010,1,2025/12/13,6570,
02MC010,1,2025/12/14,6740,
02MC010,1,2025/12/15,6690,
02MC010,1,2025/12/16,6820,
02MC010,1,2025/12/17,6960,
02MC010,1,2025/12/18,6840,
02MC010,1,2025/12/19,6850,
02MC010,1,2025/12/20,6670,
02MC010,1,2025/12/21,6730,
02MC010,1,2025/12/22,6840,
02MC010,1,2025/12/23,6890,
02MC010,1,2025/12/24,7000,
02MC010,1,2025/12/25,6990,
02MC010,1,2025/12/26,6980,
02MC010,1,2025/12/27,7010,
02MC010,1,2025/12/28,6950,
02MC010,1,2025/12/29,7080,
02MC010,1,2025/12/30,6760,
02MC010,1,2025/12/31,6940,
02MC010,1,2026/01/01,6940,
