 ID,PARAM,dateTime,Manic-1,SYM
02TC001,1,2025/01/01,714,
02TC001,1,2025/01/02,963,
02TC001,1,2025/01/03,1330,
02TC001,1,2025/01/04,1360,
02TC001,1,2025/01/05,1190,
02TC001,1,2025/01/06,1420,
02TC001,1,2025/01/07,1170,
02TC001,1,2025/01/08,1310,
02TC001,1,2025/01/09,1320,
02TC001,1,2025/01/10,1440,
02TC001,1,2025/01/11,1470,
02TC001,1,2025/01/12,1470,
02TC001,1,2025/01/13,1180,
02TC001,1,2025/01/14,1320,
02TC001,1,2025/01/15,1400,
02TC001,1,2025/01/16,1190,
02TC001,1,2025/01/17,1210,
02TC001,1,2025/01/18,1370,
02TC001,1,2025/01/19,1350,
02TC001,1,2025/01/20,1450,
02TC001,1,2025/01/21,1490,
02TC001,1,2025/01/22,1430,
02TC001,1,2025/01/23,1400,
02TC001,1,2025/01/24,1490,
02TC001,1,2025/01/25,1350,
02TC001,1,2025/01/26,1270,
02TC001,1,2025/01/27,1040,
02TC001,1,2025/01/28,878,
02TC001,1,2025/01/29,1060,
02TC001,1,2025/01/30,1440,
02TC001,1,2025/01/31,1350,
02TC001,1,2025/02/01,1520,
02TC001,1,2025/02/02,1460,
02TC001,1,2025/02/03,1400,
02TC001,1,2025/02/04,1350,
02TC001,1,2025/02/05,1350,
02TC001,1,2025/02/06,1380,
02TC001,1,2025/02/07,1460,
02TC001,1,2025/02/08,1470,
02TC001,1,2025/02/09,1380,
02TC001,1,2025/02/10,1460,
02TC001,1,2025/02/11,1340,
02TC001,1,2025/02/12,1550,
02TC001,1,2025/02/13,1510,
02TC001,1,2025/02/14,1510,
02TC001,1,2025/02/15,1500,
02TC001,1,2025/02/16,1480,
02TC001,1,2025/02/17,1430,
02TC001,1,2025/02/18,1400,
02TC001,1,2025/02/19,1430,
02TC001,1,2025/02/20,1300,
02TC001,1,2025/02/21,1260,
02TC001,1,2025/02/22,994,
02TC001,1,2025/02/23,1040,
02TC001,1,2025/02/24,1070,
02TC001,1,2025/02/25,881,
02TC001,1,2025/02/26,1370,
02TC001,1,2025/02/27,1440,
02TC001,1,2025/02/28,1180,
02TC001,1,2025/03/01,1040,
02TC001,1,2025/03/02,1270,
02TC001,1,2025/03/03,1010,
02TC001,1,2025/03/04,654,
02TC001,1,2025/03/05,850,
02TC001,1,2025/03/06,1080,
02TC001,1,2025/03/07,906,
02TC001,1,2025/03/08,983,
02TC001,1,2025/03/09,1050,
02TC001,1,2025/03/10,1180,
02TC001,1,2025/03/11,1150,
02TC001,1,2025/03/12,1280,
02TC001,1,2025/03/13,1380,
02TC001,1,2025/03/14,1130,
02TC001,1,2025/03/15,1080,
02TC001,1,2025/03/16,1260,
02TC001,1,2025/03/17,1010,
02TC001,1,2025/03/18,951,
02TC001,1,2025/03/19,974,
02TC001,1,2025/03/20,493,
02TC001,1,2025/03/21,983,
02TC001,1,2025/03/22,736,
02TC001,1,2025/03/23,456,
02TC001,1,2025/03/24,496,
02TC001,1,2025/03/25,439,
02TC001,1,2025/03/26,1130,
02TC001,1,2025/03/27,1420,
02TC001,1,2025/03/28,1150,
02TC001,1,2025/03/29,915,
02TC001,1,2025/03/30,745,
02TC001,1,2025/03/31,668,
02TC001,1,2025/04/01,566,
02TC001,1,2025/04/02,951,
02TC001,1,2025/04/03,1040,
02TC001,1,2025/04/04,824,
02TC001,1,2025/04/05,1010,
02TC001,1,2025/04/06,1100,
02TC001,1,2025/04/07,892,
02TC001,1,2025/04/08,898,
02TC001,1,2025/04/09,997,
02TC001,1,2025/04/10,1020,
02TC001,1,2025/04/11,1040,
02TC001,1,2025/04/12,852,
02TC001,1,2025/04/13,530,
02TC001,1,2025/04/14,430,
02TC001,1,2025/04/15,430,
02TC001,1,2025/04/16,697,
02TC001,1,2025/04/17,827,
02TC001,1,2025/04/18,892,
02TC001,1,2025/04/19,821,
02TC001,1,2025/04/20,804,
02TC001,1,2025/04/21,538,
02TC001,1,2025/04/22,425,
02TC001,1,2025/04/23,609,
02TC001,1,2025/04/24,671,
02TC001,1,2025/04/25,648,
02TC001,1,2025/04/26,626,
02TC001,1,2025/04/27,682,
02TC001,1,2025/04/28,736,
02TC001,1,2025/04/29,980,
02TC001,1,2025/04/30,1340,
02TC001,1,2025/05/01,1760,
02TC001,1,2025/05/02,2510,
02TC001,1,2025/05/03,2940,
02TC001,1,2025/05/04,2700,
02TC001,1,2025/05/05,2220,
02TC001,1,2025/05/06,980,
02TC001,1,2025/05/07,804,
02TC001,1,2025/05/08,810,
02TC001,1,2025/05/09,787,
02TC001,1,2025/05/10,748,
02TC001,1,2025/05/11,702,
02TC001,1,2025/05/12,818,
02TC001,1,2025/05/13,589,
02TC001,1,2025/05/14,731,
02TC001,1,2025/05/15,889,
02TC001,1,2025/05/16,926,
02TC001,1,2025/05/17,838,
02TC001,1,2025/05/18,951,
02TC001,1,2025/05/19,844,
02TC001,1,2025/05/20,677,
02TC001,1,2025/05/21,920,
02TC001,1,2025/05/22,1010,
02TC001,1,2025/05/23,1070,
02TC001,1,2025/05/24,878,
02TC001,1,2025/05/25,963,
02TC001,1,2025/05/26,799,
02TC001,1,2025/05/27,900,
02TC001,1,2025/05/28,946,
02TC001,1,2025/05/29,988,
02TC001,1,2025/05/30,886,
02TC001,1,2025/05/31,864,
02TC001,1,2025/06/01,1060,
02TC001,1,2025/06/02,872,
02TC001,1,2025/06/03,547,
02TC001,1,2025/06/04,1100,
02TC001,1,2025/06/05,1170,
02TC001,1,2025/06/06,1160,
02TC001,1,2025/06/07,767,
02TC001,1,2025/06/08,816,
02TC001,1,2025/06/09,496,
02TC001,1,2025/06/10,597,
02TC001,1,2025/06/11,796,
02TC001,1,2025/06/12,748,
02TC001,1,2025/06/13,759,
02TC001,1,2025/06/14,827,
02TC001,1,2025/06/15,1120,
02TC001,1,2025/06/16,1010,
02TC001,1,2025/06/17,838,
02TC001,1,2025/06/18,983,
02TC001,1,2025/06/19,1100,
02TC001,1,2025/06/20,1740,
02TC001,1,2025/06/21,1910,
02TC001,1,2025/06/22,1900,
02TC001,1,2025/06/23,1220,
02TC001,1,2025/06/24,1260,
02TC001,1,2025/06/25,1800,
02TC001,1,2025/06/26,1660,
02TC001,1,2025/06/27,1700,
02TC001,1,2025/06/28,1170,
02TC001,1,2025/06/29,946,
02TC001,1,2025/06/30,1180,
02TC001,1,2025/07/01,1460,
02TC001,1,2025/07/02,1670,
02TC001,1,2025/07/03,1870,
02TC001,1,2025/07/04,1740,
02TC001,1,2025/07/05,1780,
02TC001,1,2025/07/06,1240,
02TC001,1,2025/07/07,600,
02TC001,1,2025/07/08,759,
02TC001,1,2025/07/09,1050,
02TC001,1,2025/07/10,1010,
02TC001,1,2025/07/11,1040,
02TC001,1,2025/07/12,1160,
02TC001,1,2025/07/13,1210,
02TC001,1,2025/07/14,1250,
02TC001,1,2025/07/15,1210,
02TC001,1,2025/07/16,1500,
02TC001,1,2025/07/17,1320,
02TC001,1,2025/07/18,1150,
02TC001,1,2025/07/19,1060,
02TC001,1,2025/07/20,1490,
02TC001,1,2025/07/21,697,
02TC001,1,2025/07/22,1580,
02TC001,1,2025/07/23,1010,
02TC001,1,2025/07/24,1130,
02TC001,1,2025/07/25,1130,
02TC001,1,2025/07/26,1080,
02TC001,1,2025/07/27,1040,
02TC001,1,2025/07/28,799,
02TC001,1,2025/07/29,852,
02TC001,1,2025/07/30,852,
02TC001,1,2025/07/31,1030,
02TC001,1,2025/08/01,1030,
02TC001,1,2025/08/02,1430,
02TC001,1,2025/08/03,1280,
02TC001,1,2025/08/04,1390,
02TC001,1,2025/08/05,1870,
02TC001,1,2025/08/06,1970,
02TC001,1,2025/08/07,2270,
02TC001,1,2025/08/08,2240,
02TC001,1,2025/08/09,2320,
02TC001,1,2025/08/10,2360,
02TC001,1,2025/08/11,2320,
02TC001,1,2025/08/12,2250,
02TC001,1,2025/08/13,2270,
02TC001,1,2025/08/14,2470,
02TC001,1,2025/08/15,2070,
02TC001,1,2025/08/16,1840,
02TC001,1,2025/08/17,1460,
02TC001,1,2025/08/18,1360,
02TC001,1,2025/08/19,1380,
02TC001,1,2025/08/20,1340,
02TC001,1,2025/08/21,1330,
02TC001,1,2025/08/22,1170,
02TC001,1,2025/08/23,1300,
02TC001,1,2025/08/24,1530,
02TC001,1,2025/08/25,739,
02TC001,1,2025/08/26,453,
02TC001,1,2025/08/27,850,
02TC001,1,2025/08/28,767,
02TC001,1,2025/08/29,1100,
02TC001,1,2025/08/30,1140,
02TC001,1,2025/08/31,1420,
02TC001,1,2025/09/01,2190,
02TC001,1,2025/09/02,1650,
02TC001,1,2025/09/03,1150,
02TC001,1,2025/09/04,940,
02TC001,1,2025/09/05,1650,
02TC001,1,2025/09/06,1460,
02TC001,1,2025/09/07,2720,
02TC001,1,2025/09/08,1980,
02TC001,1,2025/09/09,1280,
02TC001,1,2025/09/10,1750,
02TC001,1,2025/09/11,1610,
02TC001,1,2025/09/12,1530,
02TC001,1,2025/09/13,1580,
02TC001,1,2025/09/14,1810,
02TC001,1,2025/09/15,1670,
02TC001,1,2025/09/16,1110,
02TC001,1,2025/09/17,1030,
02TC001,1,2025/09/18,903,
02TC001,1,2025/09/19,915,
02TC001,1,2025/09/20,909,
02TC001,1,2025/09/21,957,
02TC001,1,2025/09/22,977,
02TC001,1,2025/09/23,971,
02TC001,1,2025/09/24,949,
02TC001,1,2025/09/25,923,
02TC001,1,2025/09/26,1010,
02TC001,1,2025/09/27,912,
02TC001,1,2025/09/28,932,
02TC001,1,2025/09/29,932,
02TC001,1,2025/09/30,932,
02TC001,1,2025/10/01,951,
02TC001,1,2025/10/02,923,
02TC001,1,2025/10/03,963,
02TC001,1,2025/10/04,954,
02TC001,1,2025/10/05,1020,
02TC001,1,2025/10/06,1030,
02TC001,1,2025/10/07,1030,
02TC001,1,2025/10/08,1040,
02TC001,1,2025/10/09,1020,
02TC001,1,2025/10/10,1050,
02TC001,1,2025/10/11,1090,
02TC001,1,2025/10/12,1290,
02TC001,1,2025/10/13,985,
02TC001,1,2025/10/14,932,
02TC001,1,2025/10/15,1210,
02TC001,1,2025/10/16,1190,
02TC001,1,2025/10/17,1070,
02TC001,1,2025/10/18,1050,
02TC001,1,2025/10/19,1130,
02TC001,1,2025/10/20,1160,
02TC001,1,2025/10/21,985,
02TC001,1,2025/10/22,841,
02TC001,1,2025/10/23,912,
02TC001,1,2025/10/24,858,
02TC001,1,2025/10/25,1150,
02TC001,1,2025/10/26,1320,
02TC001,1,2025/10/27,1300,
02TC001,1,2025/10/28,1590,
02TC001,1,2025/10/29,2050,
02TC001,1,2025/10/30,2890,
02TC001,1,2025/10/31,2470,
02TC001,1,2025/11/01,2200,
02TC001,1,2025/11/02,2460,
02TC001,1,2025/11/03,2970,
02TC001,1,2025/11/04,1960,
02TC001,1,2025/11/05,1530,
02TC001,1,2025/11/06,1530,
02TC001,1,2025/11/07,1460,
02TC001,1,2025/11/08,1670,
02TC001,1,2025/11/09,1850,
02TC001,1,2025/11/10,1850,
02TC001,1,2025/11/11,1560,
02TC001,1,2025/11/12,1530,
02TC001,1,2025/11/13,1550,
02TC001,1,2025/11/14,1540,
02TC001,1,2025/11/15,1550,
02TC001,1,2025/11/16,1570,
02TC001,1,2025/11/17,1570,
02TC001,1,2025/11/18,1030,
02TC001,1,2025/11/19,1440,
02TC001,1,2025/11/20,1340,
02TC001,1,2025/11/21,1320,
02TC001,1,2025/11/22,1130,
02TC001,1,2025/11/23,1070,
02TC001,1,2025/11/24,881,
02TC001,1,2025/11/25,620,
02TC001,1,2025/11/26,1070,
02TC001,1,2025/11/27,1170,
02TC001,1,2025/11/28,1210,
02TC001,1,2025/11/29,1170,
02TC001,1,2025/11/30,1460,
02TC001,1,2025/12/01,1280,
02TC001,1,2025/12/02,1040,
02TC001,1,2025/12/03,1060,
02TC001,1,2025/12/04,1060,
02TC001,1,2025/12/05,1060,
02TC001,1,2025/12/06,1250,
02TC001,1,2025/12/07,1130,
02TC001,1,2025/12/08,1210,
02TC001,1,2025/12/09,1300,
02TC001,1,2025/12/10,1280,
02TC001,1,2025/12/11,1120,
02TC001,1,2025/12/12,1240,
02TC001,1,2025/12/13,1470,
02TC001,1,2025/12/14,1530,
02TC001,1,2025/12/15,1540,
02TC001,1,2025/12/16,1370,
02TC001,1,2025/12/17,1290,
02TC001,1,2025/12/18,1420,
02TC001,1,2025/12/19,1390,
02TC001,1,2025/12/20,1420,
02TC001,1,2025/12/21,1380,
02TC001,1,2025/12/22,1030,
02TC001,1,2025/12/23,923,
02TC001,1,2025/12/24,818,
02TC001,1,2025/12/25,702,
02TC001,1,2025/12/26,1010,
02TC001,1,2025/12/27,940,
02TC001,1,2025/12/28,1240,
02TC001,1,2025/12/29,1300,
02TC001,1,2025/12/30,1050,
02TC001,1,2025/12/31,980,
02TC001,1,2035/01/01,714,
02TC001,1,2035/01/02,963,
02TC001,1,2035/01/03,1330,
02TC001,1,2035/01/04,1360,
02TC001,1,2035/01/05,1190,
02TC001,1,2035/01/06,1420,
02TC001,1,2035/01/07,1170,
02TC001,1,2035/01/08,1310,
02TC001,1,2035/01/09,1320,
02TC001,1,2035/01/10,1440,
02TC001,1,2035/01/11,1470,
02TC001,1,2035/01/12,1470,
02TC001,1,2035/01/13,1180,
02TC001,1,2035/01/14,1320,
02TC001,1,2035/01/15,1400,
02TC001,1,2035/01/16,1190,
02TC001,1,2035/01/17,1210,
02TC001,1,2035/01/18,1370,
02TC001,1,2035/01/19,1350,
02TC001,1,2035/01/20,1450,
02TC001,1,2035/01/21,1490,
02TC001,1,2035/01/22,1430,
02TC001,1,2035/01/23,1400,
02TC001,1,2035/01/24,1490,
02TC001,1,2035/01/25,1350,
02TC001,1,2035/01/26,1270,
02TC001,1,2035/01/27,1040,
02TC001,1,2035/01/28,878,
02TC001,1,2035/01/29,1060,
02TC001,1,2035/01/30,1440,
02TC001,1,2035/01/31,1350,
02TC001,1,2035/02/01,1520,
02TC001,1,2035/02/02,1460,
02TC001,1,2035/02/03,1400,
02TC001,1,2035/02/04,1350,
02TC001,1,2035/02/05,1350,
02TC001,1,2035/02/06,1380,
02TC001,1,2035/02/07,1460,
02TC001,1,2035/02/08,1470,
02TC001,1,2035/02/09,1380,
02TC001,1,2035/02/10,1460,
02TC001,1,2035/02/11,1340,
02TC001,1,2035/02/12,1550,
02TC001,1,2035/02/13,1510,
02TC001,1,2035/02/14,1510,
02TC001,1,2035/02/15,1500,
02TC001,1,2035/02/16,1480,
02TC001,1,2035/02/17,1430,
02TC001,1,2035/02/18,1400,
02TC001,1,2035/02/19,1430,
02TC001,1,2035/02/20,1300,
02TC001,1,2035/02/21,1260,
02TC001,1,2035/02/22,994,
02TC001,1,2035/02/23,1040,
02TC001,1,2035/02/24,1070,
02TC001,1,2035/02/25,881,
02TC001,1,2035/02/26,1370,
02TC001,1,2035/02/27,1440,
02TC001,1,2035/02/28,1180,
02TC001,1,2035/03/01,1040,
02TC001,1,2035/03/02,1270,
02TC001,1,2035/03/03,1010,
02TC001,1,2035/03/04,654,
02TC001,1,2035/03/05,850,
02TC001,1,2035/03/06,1080,
02TC001,1,2035/03/07,906,
02TC001,1,2035/03/08,983,
02TC001,1,2035/03/09,1050,
02TC001,1,2035/03/10,1180,
02TC001,1,2035/03/11,1150,
02TC001,1,2035/03/12,1280,
02TC001,1,2035/03/13,1380,
02TC001,1,2035/03/14,1130,
02TC001,1,2035/03/15,1080,
02TC001,1,2035/03/16,1260,
02TC001,1,2035/03/17,1010,
02TC001,1,2035/03/18,951,
02TC001,1,2035/03/19,974,
02TC001,1,2035/03/20,493,
02TC001,1,2035/03/21,983,
02TC001,1,2035/03/22,736,
02TC001,1,2035/03/23,456,
02TC001,1,2035/03/24,496,
02TC001,1,2035/03/25,439,
02TC001,1,2035/03/26,1130,
02TC001,1,2035/03/27,1420,
02TC001,1,2035/03/28,1150,
02TC001,1,2035/03/29,915,
02TC001,1,2035/03/30,745,
02TC001,1,2035/03/31,668,
02TC001,1,2035/04/01,566,
02TC001,1,2035/04/02,951,
02TC001,1,2035/04/03,1040,
02TC001,1,2035/04/04,824,
02TC001,1,2035/04/05,1010,
02TC001,1,2035/04/06,1100,
02TC001,1,2035/04/07,892,
02TC001,1,2035/04/08,898,
02TC001,1,2035/04/09,997,
02TC001,1,2035/04/10,1020,
02TC001,1,2035/04/11,1040,
02TC001,1,2035/04/12,852,
02TC001,1,2035/04/13,530,
02TC001,1,2035/04/14,430,
02TC001,1,2035/04/15,430,
02TC001,1,2035/04/16,697,
02TC001,1,2035/04/17,827,
02TC001,1,2035/04/18,892,
02TC001,1,2035/04/19,821,
02TC001,1,2035/04/20,804,
02TC001,1,2035/04/21,538,
02TC001,1,2035/04/22,425,
02TC001,1,2035/04/23,609,
02TC001,1,2035/04/24,671,
02TC001,1,2035/04/25,648,
02TC001,1,2035/04/26,626,
02TC001,1,2035/04/27,682,
02TC001,1,2035/04/28,736,
02TC001,1,2035/04/29,980,
02TC001,1,2035/04/30,1340,
02TC001,1,2035/05/01,1760,
02TC001,1,2035/05/02,2510,
02TC001,1,2035/05/03,2940,
02TC001,1,2035/05/04,2700,
02TC001,1,2035/05/05,2220,
02TC001,1,2035/05/06,980,
02TC001,1,2035/05/07,804,
02TC001,1,2035/05/08,810,
02TC001,1,2035/05/09,787,
02TC001,1,2035/05/10,748,
02TC001,1,2035/05/11,702,
02TC001,1,2035/05/12,818,
02TC001,1,2035/05/13,589,
02TC001,1,2035/05/14,731,
02TC001,1,2035/05/15,889,
02TC001,1,2035/05/16,926,
02TC001,1,2035/05/17,838,
02TC001,1,2035/05/18,951,
02TC001,1,2035/05/19,844,
02TC001,1,2035/05/20,677,
02TC001,1,2035/05/21,920,
02TC001,1,2035/05/22,1010,
02TC001,1,2035/05/23,1070,
02TC001,1,2035/05/24,878,
02TC001,1,2035/05/25,963,
02TC001,1,2035/05/26,799,
02TC001,1,2035/05/27,900,
02TC001,1,2035/05/28,946,
02TC001,1,2035/05/29,988,
02TC001,1,2035/05/30,886,
02TC001,1,2035/05/31,864,
02TC001,1,2035/06/01,1060,
02TC001,1,2035/06/02,872,
02TC001,1,2035/06/03,547,
02TC001,1,2035/06/04,1100,
02TC001,1,2035/06/05,1170,
02TC001,1,2035/06/06,1160,
02TC001,1,2035/06/07,767,
02TC001,1,2035/06/08,816,
02TC001,1,2035/06/09,496,
02TC001,1,2035/06/10,597,
02TC001,1,2035/06/11,796,
02TC001,1,2035/06/12,748,
02TC001,1,2035/06/13,759,
02TC001,1,2035/06/14,827,
02TC001,1,2035/06/15,1120,
02TC001,1,2035/06/16,1010,
02TC001,1,2035/06/17,838,
02TC001,1,2035/06/18,983,
02TC001,1,2035/06/19,1100,
02TC001,1,2035/06/20,1740,
02TC001,1,2035/06/21,1910,
02TC001,1,2035/06/22,1900,
02TC001,1,2035/06/23,1220,
02TC001,1,2035/06/24,1260,
02TC001,1,2035/06/25,1800,
02TC001,1,2035/06/26,1660,
02TC001,1,2035/06/27,1700,
02TC001,1,2035/06/28,1170,
02TC001,1,2035/06/29,946,
02TC001,1,2035/06/30,1180,
02TC001,1,2035/07/01,1460,
