Nom,Longitude,Latitude,Type,Puissance_Installee_MW,Hauteur_de_chute_m,Nb_turbines,Debits_nom,Type_turbine,eta_turb,Volume_reservoir,nb_turbines_maintenance,id_HQ
Robert-Bourassa,-77.5327778,53.7819444,Reservoir,5616,137.16,16,302.353565055947,Francis,0.91,460702900000,1,
La Grande-4,-73.4652778,53.8866667,Reservoir,2779,116.7,9,312.615591958021,Francis,0.91,19423000000,0,1033
La Grande-3,-75.988438,53.727721,Reservoir,2417,79,12,301.233846075977,Francis,0.91,59994000000,0,1034
La grande-2-A,-77.5491667,53.7794444,Reservoir,2106,138.5,6,299.428267025803,Francis,0.91,6170000000,0,1037
Beauharnois_Francis,-73.877952,45.313216,Fil de l'eau,1241,24.39,26,166.990949519639,Francis,0.91,0,1
Beauharnois_Kaplan,-73.877952,45.313216,Fil de l'eau,623,24.39,10,80.30211545118,Kaplan,0.95,0,0
Manic-5,-68.7269444,50.6397222,Reservoir,1596,141.8,8,166.227212781599,Francis,0.91,135000000000,0,5956
La grande-1,-78.5738889,53.7344444,Fil de l'eau,1436,27.5,12,492.485831661476,Kaplan,0.95,0,0,1038
Rene-Levesque,-68.594444,49.740833,Fil de l'eau,1326,94.19,6,277.218960380418,Francis,0.91,0,0
Jean-Lesage,-68.347221,49.321666,Fil de l'eau,1229,70.11,8,258.891256018714,Francis,0.91,0,0
Bersimis-1,-69.5516667,49.295,Reservoir,1178,266.7,8,65.2330585413746,Francis,0.91,13900000000,1,1019
Manic-5-PA,-68.732893,50.639805,Reservoir,1064,144.5,4,217.494982905936,Francis,0.91,141851000000,0,5956
Outardes-3,-68.722249,49.557075,Fil de l'eau,1026,143.57,4,211.085850557595,Francis,0.91,0,0
Sainte-Marguerite-3,-66.7797222,50.705,Reservoir,882,330,2,149.66845053866,Pelton,0.96,327200000000,0,6416
Laforge-1,-72.6152778,54.1705556,Reservoir,878,57.3,6,301.733893812399,Francis,0.91,6884000000,0,5946
Bersimis-2,-69.2291667,49.1752778,Fil de l'eau,845,115.83,5,172.385646518991,Francis,0.91,0,0,
Outardes-4,-68.903611,49.703333,Reservoir,785,120.55,4,192.343672706841,Francis,0.91,21929000000,0,1021
Bernard-Landry,-76.050483,52.181885,Reservoir,768,63,3,480.10349729421,Francis,0.91,6940000000,0,1035
Carillon,-74.3836111,45.5686111,Fil de l'eau,756,17.99,14,339.715871251884,Kaplan,0.95,0,1,1064
Romaine-2,-63.190935,50.623732,Reservoir,640,156,2,242.359938537942,Francis,0.91,3720000000,0,14132
Toulnustouc,-68.159444,49.970556,Reservoir,526,152,2,204.431405393394,Francis,0.91,3973000000,0,7080
Outardes-2,-68.389785,49.144563,Fil de l'eau,523,82.3,3,250.27418318947,Francis,0.91,0,0,1023
Eastmain-1,-76.051389,52.181667,Reservoir,480,63,3,300.064685808881,Francis,0.91,170649000000,0,1035
Brisay,-70.5191667,54.4544444,Reservoir,469,37.5,2,738.834272632918,Francis,0.91,376600000000,0,14586
Romaine-3,-63.400227,51.114188,Reservoir,395,119,2,196.09006581812,Francis,0.91,1878000000,0,14162
Peribonka,-71.181943,49.5075,Fil de l'eau,385,67.6,3,224.299462348817,Francis,0.91,0,0
Laforge-2,-71.2708333,54.5916667,Fil de l'eau,319,27.4,2,658.814828027515,Kaplan,0.95,0,0
Trenche,-72.878752,47.752433,Fil de l'eau,302,48.47,6,122.692531295126,Francis,0.91,0,0
La tuque,-72.79881,47.444583,Fil de l'eau,294,34.75,6,166.600662786334,Francis,0.91,0,0
Beaumont,-72.8366667,47.5555556,Fil de l'eau,270,37.8,6,140.655321472913,Francis,0.91,0,1
Romaine-1,-63.260058,50.386552,Fil de l'eau,270,61.5,2,259.354690325664,Francis,0.91,0,0
Romaine-4,-60.6866667,50.2155556,Reservoir,245,88.54,2,163.467727349929,Francis,0.91,65212920000,0,14163
McCormick,-68.3277778,49.1925,Fil de l'eau,235,37.8,7,104.933335067094,Francis,0.91,0,0
Rocher-de-Grand-Mere,-72.674857,46.613888,Fil de l'eau,230,24.3,3,357.070152029396,Kaplan,0.95,0,0
Paugan,-75.933041,45.809852,Fil de l'eau,216,40.54,8,78.6892622349696,Francis,0.91,0,0
Rapide-Blanc,-72.975,47.7972222,Reservoir,204,32.92,6,122.026609394483,Francis,0.91,466000000,0,1015
Shawinigan-2,-72.7652778,46.5375,Fil de l'eau,200,44.2,8,66.8271889350944,Francis,0.91,0,1
Shawinigan-3,-72.765263,46.533833,Fil de l'eau,194,44.2,3,172.859662045444,Francis,0.91,0,0
Manic-1,-68.3294444,49.1905556,Fil de l'eau,184,36.58,3,198.101754026366,Francis,0.91,0,0
Rapides-des-Iles,-79.354675,47.576852,Fil de l'eau,176,26.22,4,189.92110563617,Kaplan,0.95,0,0
Chelsea,-75.777591,45.512561,Fil de l'eau,152,28.35,5,121.35949514937,Kaplan,0.95,0,0
Sarcelle,-76.632538,52.667721,Fil de l'eau,150,8.7,3,650.43513450632,Kaplan,0.95,0,0
La Gabelle,-72.739444,46.448889,Fil de l'eau,131,17.38,5,170.610108814005,Kaplan,0.95,0,0
Premiere-Chute,-79.4525,47.6,Fil de l'eau,131,22.26,4,166.509641239185,Kaplan,0.95,0,0
Les Cedres,-74.0283333,45.3116667,Fil de l'eau,113,9.14,12,116.601528215384,Kaplan,0.95,0,1
Rapides-des-Quinze,-79.294055,47.591099,Fil de l'eau,109,25.9,6,79.383222400559,Kaplan,0.95,0,0
Rapides-Farmer,-75.763311,45.498885,Fil de l'eau,104,20.12,5,117.000737515173,Kaplan,0.95,0,0
Chute-des-Chats,-76.238333,45.475,Fil de l'eau,92,16.16,4,161.079295067716,Kaplan,0.95,0,0
Rapide-des-Coeurs,-73.375177,47.786596,Fil de l'eau,76,22.69,6,63.1802131534566,Kaplan,0.95,0,0
Chute-Allard,-73.721943,47.89111,Fil de l'eau,62,17.83,6,65.5907107034416,Kaplan,0.95,0,0
Bryson,-76.6311111,45.6611111,Fil de l'eau,61,18.29,3,125.81954652178,Kaplan,0.95,0,0
Rapide-2,-78.576111,47.933611,Fil de l'eau,61,20.43,4,84.4801580720764,Kaplan,0.95,0,0
Rapide-7,-78.310155,47.768449,Reservoir,61,20.73,4,83.2575798076469,Kaplan,0.95,2145000000,1,1126
Mercier,-75.982777,46.717777,Reservoir,55,18,5,69.1629359691721,Kaplan,0.95,3664000000,0,1009
Riviere-des-Prairies,-73.6572222,45.5894444,Fil de l'eau,54,7.93,6,128.446585200113,Kaplan,0.95,0,0
Hart-Jaune,-67.9127778,51.785,Reservoir,51,39.6,3,50.7211613796262,Francis,0.91,1430000000,0,6412
Chute-Hemmings,-72.4508333,45.8625,Fil de l'eau,29,14.64,6,39.0068719385264,Francis,0.91,0,0
Lac-Robertson,-59.063056,50.999167,Reservoir,22,38.5,2,32.3359181154571,Kaplan,0.95,605000000,0
Sept-Chutes,-70.828527,47.12276,Fil de l'eau,22,124.97,4,5.19986865011489,Francis,0.91,0,0
Drummondville,-72.483802,45.886924,Fil de l'eau,16,9.1,4,49.7475663314724,Kaplan,0.95,0,0
Chute-Bell,-74.684444,45.773889,Fil de l'eau,10,17.8,2,31.7909307314887,Kaplan,0.95,0,0
Mitis-1,-68.1386111,48.6036111,Fil de l'eau,6,36.58,2,9.6897597078114,Francis,0.91,0,0
Mitis-2,-68.1386111,48.6219444,Fil de l'eau,4,22.86,1,19.8032744364129,Kaplan,0.95,0,0
Churchill-Falls,53.52890,-63.96580,Reservoir,5428,312.4,11,185.556609,Francis,0.91,32640000000,1,10602
Gull-Island,-61.37,52.96,Fil de l'eau,2250,79,12,301.23,Francis,0.91,0,0
